Poivron jaune, cru;29,4;124;92;1;5,42;0,21;-;-;0,9;0,031;-;0;0,005;11;-;0,11;0,46;-;12;0,12;24;212;-;2;0,17;0;120;0;-;-;-;184;0,028;0,025;0,89;0,17;0,17;26;0
Laitue romaine, crue;17,3;71,9;94,6;1,24;1,35;0,3;1,19;0;2,1;0,04;0,012;0;0,018;33;48;0,048;0,97;1,25;14;0,16;30;247;1;8;0,23;0;5230;0;0,13;103;-;14;0,072;0,067;0,31;0,14;0,074;136;0
Tomate cerise, crue;21,4;89,7;92;0,8;3;0,4;2,96;0,03;1,3;0,054;0,06;0;0,033;11;16;0,06;0,4;2;11;0,1;30;290;traces;13;0,2;0;792;0;1,22;-;-;28;0,06;0,04;1;0,25;0,14;17;0
Pois mange-tout ou pois gourmand, cru;44,8;189;88,3;3,08;6,2;0,27;4;-;2,63;0,039;0,021;0;0,01;40,7;-;0,079;2,08;-;24;0,24;56,8;200;-;4;0,27;0;630;0;0,39;25;-;60;0,15;0,08;0,6;0,75;0,16;42;0
Panais, cru;58,3;245;80,6;1,54;10,1;0,4;4,8;-;4,7;0,063;0,07;0;0,02;45,5;-;0,13;0,7;0,25;29,5;0,48;82,5;505;0,2;8;0,72;0;0;0;1,9;22,5;-;11,5;0,09;0,12;1,95;0,6;0,1;67;0
"Haricot mungo germ‚ ou pousse de ""soja"", cru";30,5;124;91,7;2,57;3,4;< 0,5;3,4;-;1,7;< 0,0002;< 0,0002;0;0,043;16;6,7;0,1;0,44;< 20;16;0,12;43;120;< 50;17,1;0,32;0;< 10;< 0,5;0,095;2,1;-;4,13;0,065;0,06;0,71;0,17;0,06;61,3;0
Haricot beurre, cru;36,1;152;90,1;1,85;5,6;0,16;-;-;2,45;0,026;0,005;0;0,015;41;-;0,07;1,07;0,6;26;0,21;38;209;-;6;0,32;0;-;0;0,45;-;-;18,7;0,08;0,12;0,68;0,072;0,087;68,5;0
Salsifis noir, cru;83,1;351;77;3,21;15,3;0,27;-;-;3,3;< 0,1;-;0;0,031;42,1;-;0,1;0,7;0,2;27,6;0,27;84,5;384;-;12,3;0,38;0;-;0;0,8;-;-;5,5;0,12;0,14;0,4;0,37;0,17;26;0
Bambou, pousse, crue;35,1;148;89,8;2,52;5,08;0,2;3;-;1,45;0,053;0,0053;0;0,01;15,5;-;0,19;0,4;-;3;0,26;54,5;517;-;4;1,1;0;12;0;1;0;-;7,5;0,095;0,095;0,55;0,16;0,24;7;0
Cresson al‚nois, cru;27,1;114;91,1;2,55;2,2;0,6;2,2;0;1,35;0,047;0,14;0;0,096;75,5;-;0,13;1,8;0,9;41;0,55;76;368;-;38,5;0,35;0;4150;0;2,15;542;-;52;0,13;0,23;1,75;0,27;0,27;95;0
Laitue iceberg, crue;17,7;74,6;95,6;1,01;2,45;0,18;1,48;-;1,15;0,023;0,0063;0;0,024;17,4;-;0,029;0,43;0,6;8,73;0,19;23,6;179;0,15;9,48;0,21;0;299;0;0,22;56,4;-;4,72;0,048;0,038;0,19;0,11;0,048;48;0
Rutabaga, cru;33,8;142;89,5;1,17;5,7;0,13;4,46;0,4;2,6;0,023;0,02;0;0,028;45,2;-;0,031;0,35;0,5;17;0,14;47,8;349;0;11;0,21;0;1;0;0,3;0,3;-;33;0,068;0,04;1,25;0,14;0,11;24;0
Haricot beurre, surgel‚, cru;33,8;142;89,9;2;4,9;0,17;2,5;-;2,33;0,047;0,008;0;0,0092;51;-;0,049;0,78;0,4;22;0,39;32;186;-;2,5;0,26;0;-;0;-;-;-;16;0,099;0,092;0,5;0,085;0,042;15;0
Brocoli, surgel‚, cru;26,9;112;91,5;2,79;1,56;0,44;1,24;-;2,77;0,097;0,013;0;0,05;48,5;-;0,036;0,77;-;17;0,26;54,5;231;2,8;21,4;0,41;0;675;0;1,29;101;-;62,3;0,063;0,11;0,46;0,24;0,18;80,5;0
Chou de Bruxelles, surgel‚, cru;43,2;181;86,3;3,43;4,5;0,33;2,35;-;4,28;0,062;0,016;0;0,029;34;-;0,043;0,82;0,25;22;0,29;65,5;427;1,1;14;0,37;0;370;0;0,34;250;-;77,5;0,12;0,11;0,69;0,35;0,19;93,5;0
Carotte, surgel‚e, crue;30,5;128;90,9;0,63;4,99;0,27;4,73;0,26;2,76;0,067;0,01;0;0,15;34,9;-;0,074;0,41;-;12;0,17;33;235;-;51;0,33;0;12800;0;0,57;17,6;-;4,32;0,044;0,037;0,46;0,19;0,095;10;0
Concombre, pulpe, cru;11,4;48;96,5;0,58;1,5;0,19;1,38;< 0,5;0,7;0,078;0,002;0;0,016;14;61;0,071;0,22;< 5;12;0,073;21;136;-;6,5;0,17;0;31;0;0,03;7,2;-;3,73;< 0,04;0,018;0,11;< 0,16;0,048;10;0
Petits pois et carottes, surgel‚s, crus;55,9;235;82,3;3,89;7,1;0,37;3,43;-;4,3;0,097;0,03;0;0,082;29,5;-;0,089;1,2;-;18;0,24;60;194;-;31,3;0,52;0;-;0;-;-;-;13,6;0,19;0,081;1,41;0,2;0,1;36;0
Roquette, crue;27,9;117;91,7;2,58;2,1;0,66;2,05;-;1,6;0,086;0,049;0;0,068;160;-;0,076;1,46;-;47;0,32;52;369;-;27;0,47;0;1420;0;0,43;109;-;15;0,044;0,086;0,31;0,44;0,073;97;0
Chou fris‚, cru;53,5;224;82,8;4,33;4,2;1,07;2,26;-;4,9;0,12;0,043;0;0,091;185;-;0,8;1,74;1,4;33,5;0,58;83;378;2,1;36,5;0,59;0;5930;0;3,47;477;-;145;0,13;0,21;1,9;0,55;0,31;101;0
Champignon de Paris ou champignon de couche, surgel‚, cru;15,9;66,2;93,2;1,8;0,83;0,25;0,25;-;1,97;0,1;-;-;0,02;10;-;-;0,8;-;-;-;-;-;-;5;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-
Courgette, pulpe et peau, surgel‚e, crue;17,8;74,5;94,6;1,19;2,18;0,14;1,56;-;1,48;0,027;0,01;0;0,019;20;-;0,05;0,64;-;13;0,24;28;218;-;8,36;0,21;0;119;0;0,12;4,2;-;9,32;0,048;0,042;0,43;0,3;0,05;10;0
Crosne, surgel‚, cru;40,4;172;-;1,4;8,7;0;0,5;-;0;0;-;-;0,0025;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Artichaut, fond, surgel‚, cru;59,7;249;84,7;2,08;8,09;0,43;1,89;-;7,54;0,1;-;-;0,18;-;-;-;-;-;-;-;-;-;-;45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ma‹s doux, surgel‚, cru;105;444;71,8;3,28;19,8;0,78;3,78;-;2,8;0,12;0,23;0;0,013;4;-;0,051;0,68;-;32;0,16;87;294;-;5;0,7;0;61;0;0,09;0,4;-;7,2;0,1;0,088;1,68;0,29;0,18;40;0
